订单号,交易流水号,刷卡时间,交易金额(元),线路号,车辆编号,票价(元)
U17B00639201802261845525439,184553212017,2018/2/26 18:45:52,2.00,44,2111,2.00
U17C01150201802261845549254,184553211246,2018/2/26 18:45:54,2.00,11,3073,2.00
U17900658201802261845532874,184554206390,2018/2/26 18:45:53,2.00,2,2008,2.00
U17B00516201802261845500055,184554209699,2018/2/26 18:45:50,0.01,79,2035,2.00
U17B00705201802261845540003,184553206568,2018/2/26 18:45:54,1.00,74,1602,2.00
U17B00751201802261845537200,184554211064,2018/2/26 18:45:53,1.00,80,685,1.00
U17B00275201802261845547282,184555206189,2018/2/26 18:45:54,2.00,807,2432,2.00
U17B00595201802261845549392,184556210670,2018/2/26 18:45:54,1.00,94,2313,1.00
U17900066201802261845552378,184556211820,2018/2/26 18:45:55,2.00,1,828,2.00
U17B00060201802261845581566,184556210463,2018/2/26 18:45:58,2.00,801,2031,2.00
U17B00163201802261845553950,184556206392,2018/2/26 18:45:55,2.00,8,840,2.00
U17B00275201802261845551094,184556210462,2018/2/26 18:45:55,2.00,807,2432,2.00
U17B00637201802261845559500,184557210083,2018/2/26 18:45:55,1.00,3,777,1.00
U17B00705201802261845575532,184555210280,2018/2/26 18:45:57,2.00,74,1602,2.00
U17B00813201802261845545845,184555211248,2018/2/26 18:45:54,1.00,80,681,1.00
U17B00814201802261845570560,184556209494,2018/2/26 18:45:57,2.00,5,2037,2.00
U17A01243201802261845597292,184559209085,2018/2/26 18:45:59,2.00,6,1478,2.00
U17B00575201802261845588518,184558206190,2018/2/26 18:45:58,2.00,20,2101,2.00
U17900065201802261845580752,184559210281,2018/2/26 18:45:58,2.00,39,1458,2.00
U17B00612201802261845597258,184559209303,2018/2/26 18:45:59,2.00,27,847,2.00
U17A00376201802261846000105,184600206776,2018/2/26 18:46:00,1.00,39,1443,2.00
U17B00323201802261846006014,184601210671,2018/2/26 18:46:00,2.00,100,1806,2.00
U17B00349201802261845584072,184559210467,2018/2/26 18:45:58,2.00,40,1635,2.00
U17900640201802261846004510,184601206935,2018/2/26 18:46:00,2.00,10,1417,2.00
U17B00705201802261846028904,184601209087,2018/2/26 18:46:02,2.00,74,1602,2.00
U17B00754201802261846019940,184602206570,2018/2/26 18:46:01,1.00,6,1493,1.00
U17700461201802261846009872,184604212214,2018/2/26 18:46:00,1.00,43,1910,1.00
U17A00327201802261846024038,184603209495,2018/2/26 18:46:02,2.00,39,1453,2.00
U17A00495201802261846035578,184603208533,2018/2/26 18:46:03,2.00,1,827,2.00
U17B00098201802261846037353,184603210084,2018/2/26 18:46:03,1.00,51,1375,1.00
U17B00282201802261846020062,184603210862,2018/2/26 18:46:02,2.00,807,2434,2.00
U17B00456201802261846020087,184603208135,2018/2/26 18:46:02,0.50,17,1158,1.00
U17A00376201802261846047790,184604211457,2018/2/26 18:46:04,2.00,39,1443,2.00
U17B00595201802261846021902,184604209305,2018/2/26 18:46:02,1.00,94,2313,1.00
U17B00749201802261846070035,184605208701,2018/2/26 18:46:07,1.00,13,2009,2.00
U17B00392201802261846041520,184605208534,2018/2/26 18:46:04,2.00,79,2044,2.00
U17A00495201802261846067918,184606210673,2018/2/26 18:46:06,2.00,1,827,2.00
U17B00557201802261846057374,184606210672,2018/2/26 18:46:05,1.00,75,1339,1.00
U17900078201802261846071776,184607206395,2018/2/26 18:46:07,2.00,39,1457,2.00
U17A01243201802261846096912,184608206396,2018/2/26 18:46:09,2.00,6,1478,2.00
U17B00392201802261846089784,184609209089,2018/2/26 18:46:08,2.00,79,2044,2.00
U17802554201802261846126100,184610212022,2018/2/26 18:46:12,2.00,59,2082,2.00
U17A01119201802261846097740,184610208136,2018/2/26 18:46:09,2.00,1,830,2.00
U17B00612201802261846091259,184609206780,2018/2/26 18:46:09,2.00,27,847,2.00
U17B00465201802261846114720,184611208703,2018/2/26 18:46:11,2.00,51,2135,2.00
U17B00880201802261846123788,184611206781,2018/2/26 18:46:12,1.00,57,1125,1.00
U17B00275201802261846128630,184613210865,2018/2/26 18:46:12,2.00,807,2432,2.00
U17803094201802261846141116,184614210866,2018/2/26 18:46:14,2.00,38,2075,2.00
U17B00392201802261846145420,184615208367,2018/2/26 18:46:14,2.00,79,2044,2.00
U17B00562201802261846135496,184614208536,2018/2/26 18:46:13,1.00,7,1356,1.00
U17802554201802261846180079,184616209704,2018/2/26 18:46:18,1.00,59,2082,2.00
U17B00595201802261846151186,184616211067,2018/2/26 18:46:15,1.00,94,2313,1.00
U17B00668201802261846144700,184616206573,2018/2/26 18:46:14,1.00,17,1155,1.00
U17B00846201802261846167526,184617209705,2018/2/26 18:46:16,1.00,58,1486,1.00
U17B00131201802261846170057,184617208138,2018/2/26 18:46:17,1.00,33,2090,2.00
U17B00857201802261846186042,184618209093,2018/2/26 18:46:18,2.00,36,1466,2.00
U17B00392201802261846194394,184620209308,2018/2/26 18:46:19,2.00,79,2044,2.00
U17B00496201802261846188510,184620206784,2018/2/26 18:46:18,2.00,69,2441,2.00
U17802554201802261846246014,184621210867,2018/2/26 18:46:24,2.00,59,2082,2.00
U17900078201802261846209488,184621210676,2018/2/26 18:46:20,2.00,39,1457,2.00
U17900640201802261846196089,184621209882,2018/2/26 18:46:19,2.00,10,1417,2.00
U17900712201802261846208196,184622207754,2018/2/26 18:46:20,2.00,2,2006,2.00
U17A00416201802261846184240,184621208140,2018/2/26 18:46:18,1.00,104,1908,1.00
U17B00127201802261846200078,184621211251,2018/2/26 18:46:20,2.00,38,2083,2.00
U17B00131201802261846200058,184620208139,2018/2/26 18:46:20,1.00,33,2090,2.00
